";""idencuesta"";""ola"";""version"";""muestra"";""sospechoso"";""r13_nredes"";""r13_sexo_01"";""r13_edad_01"";""r13_relacion_01"";""r13_tiempo_01"";""r13_barrio_01"";""r13_educ_01"";""r13_relig_01"";""r13_ideol_01"";""r13_contacto_01"";""r13_sexo_02"";""r13_edad_02"";""r13_relacion_02"";""r13_tiempo_02"";""r13_barrio_02"";""r13_educ_02"";""r13_relig_02"";""r13_ideol_02"";""r13_contacto_02"";""r13_sexo_03"";""r13_edad_03"";""r13_relacion_03"";""r13_tiempo_03"";""r13_barrio_03"";""r13_educ_03"";""r13_relig_03"";""r13_ideol_03"";""r13_contacto_03"";""r13_sexo_04"";""r13_edad_04"";""r13_relacion_04"";""r13_tiempo_04"";""r13_barrio_04"";""r13_educ_04"";""r13_relig_04"";""r13_ideol_04"";""r13_contacto_04"";""r13_sexo_05"";""r13_edad_05"";""r13_relacion_05"";""r13_tiempo_05"";""r13_barrio_05"";""r13_educ_05"";""r13_relig_05"";""r13_ideol_05"";""r13_contacto_05"";""r14"";""r15"";""r05_01"";""r05_02"";""r06"";""r07"";""r08"";""r09"";""r10"";""r11"";""r16"";""r17"";""r12_01"";""r12_02"";""r12_03"";""r12_04"";""r12_05"";""r12_06"";""r12_07"";""t01"";""t02_01"";""t02_02"";""t02_03"";""t02_04"";""t03_01"";""t03_02"";""t03_03"";""t03_04"";""t04_01"";""t04_02"";""t04_03"";""t04_04"";""t04_05"";""t04_06"";""t04_07"";""t05"";""t06_01"";""t06_02"";""t06_03"";""t06_04"";""t06_05"";""t06_06"";""t06_07"";""t06_08"";""t07_01"";""t07_02"";""t08"";""t09_01"";""t09_02"";""t09_03"";""t10"";""t11_01"";""t11_02"";""t11_03"";""t11_04"";""t12"";""t13_01"";""t13_02"";""t13_03"";""c01"";""c02"";""c03"";""c04"";""c05_01"";""c05_02"";""c05_03"";""c05_04"";""c05_05"";""c05_06"";""c05_07"";""c05_08"";""c05_09"";""c07_01"";""c07_02"";""c07_03"";""c07_04"";""c07_05"";""c07_06"";""c07_07"";""c07_08"";""c08_01"";""c08_02"";""c08_03"";""c08_04"";""c10_01"";""c10_02"";""c10_03"";""c13"";""c14_01"";""c14_02"";""c15"";""c16"";""c16_otro"";""c17"";""c17_otro"";""c36"";""c18_01"";""c18_12"";""c18_02"";""c18_03"";""c18_04"";""c18_05"";""c18_06"";""c18_07"";""c18_08"";""c18_09"";""c18_10"";""c18_11"";""c20"";""c20_otro"";""c21_01"";""c21_02"";""c21_03"";""c21_04"";""c21_05"";""c21_06"";""c21_07"";""c21_08"";""c21_09"";""c21_10"";""c21_11"";""c22"";""c23"";""c24"";""c25"";""c26"";""c27"";""c28"";""c29"";""c30"";""c32_01"";""c32_02"";""d01_01"";""d01_02"";""d01_03"";""d02_01"";""d02_02"";""d02_03"";""d03_01"";""d03_02"";""d04_01"";""d04_02"";""d05_01"";""d05_02"";""d05_03"";""d05_04"";""d06"";""d20"";""d21"";""d22"";""d23_01"";""d23_02"";""d23_03"";""d23_04"";""d23_05"";""f05_01"";""f05_02"";""f05_03"";""f05_04"";""f05_05"";""f05_06"";""f05_07"";""f05_08"";""f06_01"";""f06_02"";""s01"";""s02"";""s03"";""s11_01"";""s11_02"";""s11_03"";""s11_04"";""s11_05"";""s11_06"";""s11_07"";""s11_08"";""s11_09"";""s15"";""s16"";""s17"";""s18"";""s19_01"";""s19_01_fecha"";""s19_02"";""s19_02_fecha"";""s19_03"";""s19_03_fecha"";""s19_04"";""s19_04_fecha"";""s19_05"";""s19_05_fecha"";""s20"";""s21"";""s22_01"";""s22_02"";""s22_03"";""s22_04"";""s22_05"";""s22_06"";""s22_07"";""s22_08"";""s22_09"";""s22_10"";""s23_01"";""s23_02"";""s23_03"";""s23_04"";""s23_05"";""s24_01"";""s24_02"";""s24_03"";""s25_01"";""s25_02"";""s25_03"";""s25_04"";""s26_01"";""s26_02"";""s26_03"";""s26_04"";""s26_05"";""s26_06"";""s27"";""s28"";""s29"";""m0_sexo"";""m0_edad"";""m01"";""m02"";""m13"";""m14"";""m15"";""m16"";""m29"";""m30"";""m38"";""m38_otro"";""m39"";""m41"";""m46"";""m46_nhogar"";""m46_ocup_01"";""m46_educ_01"";""m46_ocup_02"";""m46_educ_02"";""m46_ocup_03"";""m46_educ_03"";""m46_ocup_04"";""m46_educ_04"";""m46_ocup_05"";""m46_educ_05"";""m46_ocup_06"";""m46_educ_06"";""m46_ocup_07"";""m46_educ_07"";""m46_ocup_08"";""m46_educ_08"";""m46_ocup_09"";""m46_educ_09"";""m46_ocup_10"";""m46_educ_10"";""m47_comuna"";""m47_pais"";""m48"";""m48_edad"";""m49"";""m50"";""m51_comuna"";""m51_pais"";""m52"";""m53"";""m53_otro"";""comuna"";""region"";""ponderador01"";""ponderador02"";""estrato"";""segmento"";""idencuestador"""
"1752;13102013;2;201710;1;0;2;2;30;1;5;1;3;1;6;1;2;52;3;4;1;2;3;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;1;2;4;1;1;2;5;3;1;-888;-888;3;4;3;4;4;3;3;4;4;3;4;4;4;4;4;3;4;4;2;2;2;3;4;4;4;4;4;4;4;3;4;4;4;2;2;3;4;2;3;1;1;1;13;14;6;2;2;1;1;1;1;3;2;1;2;2;2;3;2;1;2;1;2;2;2;2;1;1;1;1;4;4;4;2;1;3;2;12;"""";2;"""";3;1;1;4;4;4;4;4;4;4;4;4;4;1;"""";4;4;3;3;3;1;1;4;4;1;4;1;1;1;3;2;3;4;3;1;4;4;5;2;5;2;2;2;5e+06;280000;2e+06;4e+05;1;4;3;4;3;4;4;2;6;6;5;4;5;2;3;1;2;1;3;1;1;4;4;4;4;5;2;2;3;3;2;2;1;4;1;1;1;7;3;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;4;3;4;4;4;4;4;3;3;1;5;5;2;4;5;5;5;1;1;1;1;3;4;4;3;1;2;8;0;1;1;30;5;1;4e+05;NA;5e+05;2;6e+05;NA;1;"""";7;2;1;3;1;5;7;4;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13108;NA;1;23;2;""luis correa prieto"";13127;NA;1;10;"""";13102;13;1.20239448547363;1.69220745563507;1;965712;109"
"1753;13102014;2;201710;1;0;5;2;34;3;5;1;2;3;3;2;2;31;4;5;1;2;2;3;2;1;46;1;5;1;1;2;1;1;2;26;2;5;1;3;3;3;1;1;27;2;5;1;4;3;2;1;1;2;2;1;1;NA;NA;2;5;4;2;1;2;3;4;4;4;4;4;2;5;5;5;5;4;4;4;5;4;4;5;4;4;2;2;3;4;4;4;4;4;4;4;4;4;4;4;3;5;5;2;2;1;1;2;1;3;5;9;1;2;2;2;3;2;3;3;4;3;3;3;3;2;1;1;2;2;1;3;2;2;1;1;3;4;5;4;1;2;3;5;15;"""";5;"""";10;2;4;5;4;4;4;4;5;4;4;4;4;2;"""";3;3;4;4;4;2;3;3;4;3;4;1;-888;1;3;2;2;3;3;2;5;5;5;5;7;1;1;1;1e+07;282000;1e+06;4e+05;5;3;5;3;1;3;3;5;1;5;8;7;5;4;2;1;2;1;3;1;1;5;5;4;3;2;1;2;2;5;4;2;1;1;2;1;1;1;1;2;NA;2;NA;1;2012;2;NA;2;NA;5;NA;5;5;4;3;5;4;4;3;4;3;1;1;1;1;1;5;5;1;2;1;2;2;4;4;5;4;4;5;0;0;1;2;44;3;7;NA;NA;NA;NA;3e+05;NA;5;"""";7;2;1;5;2;3;1;7;1;5;4;4;9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13126;NA;1;18;2;""no asistio amedia"";-999;NA;1;10;"""";13102;13;1.60319292545319;1.25483536720276;1;965712;112"
"1754;13102016;2;201710;1;0;5;1;36;2;5;2;5;1;4;2;2;26;2;5;1;5;1;6;2;1;57;3;5;2;3;1;5;1;1;37;2;5;2;3;1;1;2;2;62;3;5;2;3;2;6;2;1;4;3;1;4;1;2;1;2;4;1;1;-999;-999;1;2;5;4;3;1;5;2;2;4;3;3;2;1;1;4;5;4;4;4;5;4;2;2;2;3;2;2;4;4;5;3;2;2;1;5;4;3;4;1;1;2;NA;NA;NA;1;2;2;1;1;1;1;1;1;2;1;1;3;1;1;1;1;1;2;2;1;1;1;1;1;5;5;5;2;1;5;5;10;"""";1;"""";2;4;4;4;4;5;5;4;4;2;2;4;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;5;5;1;1;5;5;5;3;6;2;2;2;9e+06;267000;4e+06;5e+05;4;5;4;5;5;2;3;2;7;5;4;7;6;5;1;4;5;1;1;1;1;5;5;1;5;2;1;2;2;1;1;3;1;2;1;20;4;72;4;2;NA;2;NA;2;NA;2;NA;2;NA;2;0;5;4;1;4;5;5;4;5;2;4;1;1;1;2;1;1;1;1;1;1;1;1;1;4;1;3;1;1;0;0;1;1;57;2;1;720000;NA;9e+05;2;720000;NA;1;"""";5;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6101;NA;1;20;2;""no estudio media"";-999;NA;2;10;"""";13102;13;0.400798231363297;0.564069151878357;1;965712;112"
"1755;13102017;2;201710;1;0;5;1;25;4;4;2;5;1;4;3;1;26;4;5;2;5;4;4;1;2;21;4;2;2;5;1;4;1;2;66;3;5;1;1;1;1;1;2;22;4;2;2;5;1;4;1;2;2;2;2;3;4;1;3;4;2;3;4;3;3;2;4;5;5;5;3;4;4;5;5;4;4;3;5;1;4;5;5;2;4;3;3;2;4;2;1;4;2;4;2;4;2;2;2;2;5;4;2;1;2;2;2;NA;NA;NA;2;2;2;1;2;1;1;2;2;2;1;1;3;3;2;3;1;2;2;3;2;2;4;3;3;4;4;4;3;3;4;3;7;"""";3;"""";3;2;1;5;4;2;3;2;3;4;2;2;5;1;"""";3;4;4;4;4;3;4;4;5;4;5;4;2;4;1;3;4;4;3;2;5;5;6;5;8;2;1;1;1e+08;180000;5e+07;330000;3;5;4;5;2;5;2;5;3;5;3;10;3;4;3;1;2;1;2;1;1;5;4;4;4;3;4;2;1;2;4;2;1;1;1;4;3;2;6;2;NA;2;NA;2;NA;2;NA;2;NA;2;4;4;4;2;5;5;4;4;4;3;3;1;1;3;3;1;5;5;1;1;1;2;2;4;3;5;2;2;1;5;5;1;1;25;8;4;NA;NA;NA;NA;0;NA;8;"""";NA;1;1;4;1;2;1;4;4;8;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13102;NA;1;25;2;""colegio san sebastian"";13101;NA;1;10;"""";13102;13;2.00399088859558;2.82034587860107;1;965712;112"
"1756;13102021;2;201710;1;0;5;1;65;4;5;2;3;1;1;1;1;64;4;5;2;3;3;5;1;1;32;2;5;2;5;3;5;1;2;35;2;5;2;5;1;1;1;1;63;4;5;2;3;1;5;1;1;3;1;1;2;3;1;2;1;1;2;1;3;3;2;2;2;4;4;4;5;5;5;5;3;2;4;2;3;2;4;4;4;2;2;3;4;1;2;2;1;4;4;2;4;4;4;1;1;3;5;2;5;1;3;1;11;1;5;1;2;2;2;2;1;5;1;1;3;1;2;2;3;1;3;1;3;3;3;3;1;1;1;1;5;3;4;2;3;5;7;10;"""";1;"""";2;5;5;5;4;5;5;5;4;4;2;2;5;2;"""";5;5;2;2;2;4;4;4;4;4;3;4;4;3;1;3;1;3;3;3;5;5;5;5;7;4;1;1;2.5e+07;270000;2.5e+07;4e+05;4;5;4;5;3;4;3;2;5;3;3;7;1;2;1;1;3;1;1;1;1;5;4;4;2;1;5;1;2;2;2;2;1;3;1;1;3;1;4;1;2002;1;2002;2;NA;2;NA;2;NA;2;270;4;5;2;5;4;5;3;5;1;4;4;1;1;1;4;1;1;1;1;1;1;1;1;5;3;2;2;1;15;2;1;1;58;8;2;1e+06;NA;1500000;4;1800000;NA;1;"""";7;2;1;1;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13102;NA;1;19;3;""escuela industrial don orione"";13102;NA;2;10;"""";13102;13;1.60319304466248;2.25627708435059;1;769891;112"
"1757;13102023;2;201710;1;0;5;2;32;4;-999;2;5;1;1;1;2;25;4;4;2;5;1;5;1;1;47;4;5;2;5;1;4;2;2;25;5;1;2;5;1;4;1;2;33;4;5;1;5;1;2;3;1;3;2;2;4;1;2;4;4;3;4;2;3;4;2;2;4;3;4;4;3;3;3;4;4;4;4;4;4;2;3;4;2;3;2;3;4;2;3;2;1;5;5;4;5;5;4;2;2;3;4;3;1;4;4;2;NA;NA;NA;4;1;1;2;4;3;4;4;4;2;4;4;4;3;2;3;3;3;3;3;2;2;3;1;3;5;5;5;4;4;4;3;6;"""";3;"""";1;2;1;5;5;3;3;3;3;4;2;2;4;5;"""";4;3;4;3;4;3;4;4;3;3;2;1;1;3;1;2;4;5;3;3;5;5;5;5;5;3;2;1;3e+07;2e+05;1e+07;280000;4;5;4;5;3;5;5;1;5;1;1;10;1;1;1;1;4;1;1;1;1;5;5;3;3;2;1;2;5;2;2;1;2;1;1;2;3;2;8;2;NA;2;NA;1;2016;2;NA;2;NA;4;7;3;4;2;3;2;4;3;4;3;4;2;1;1;2;2;5;5;5;1;1;1;1;1;5;5;5;4;3;3;0;1;2;44;9;1;7e+05;NA;1200000;3;9e+05;NA;1;"""";5;1;1;2;5;2;6;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13102;NA;2;NA;3;""mater dei"";13102;NA;2;10;"""";13102;13;1.60319304466248;1.25483548641205;1;769891;112"
"1758;13102025;2;201710;1;0;5;2;70;4;5;1;-999;1;6;1;2;65;4;5;1;-999;3;6;-999;2;58;4;5;1;-999;1;1;1;2;50;4;5;1;-999;3;6;1;1;70;4;5;1;-999;1;1;1;1;5;1;-888;1;NA;NA;1;1;2;1;-888;-999;-999;5;5;3;3;3;5;5;5;5;5;5;5;5;5;5;4;4;4;3;2;2;3;5;1;4;4;3;5;4;5;5;5;5;1;2;3;4;1;1;1;1;2;NA;NA;NA;3;1;3;2;1;1;3;-888;1;1;1;1;1;3;1;3;1;3;3;3;3;1;1;1;1;1;1;1;1;1;1;12;15;"""";5;"""";10;1;1;5;5;1;1;4;4;4;1;1;1;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;3;3;3;1;5;5;4;8;-999;1;1;1;1e+07;350000;5e+06;5e+05;3;5;5;3;3;4;2;4;2;2;6;10;3;3;2;1;1;1;1;1;1;5;5;5;5;5;1;1;1;1;1;1;1;1;1;0;4;1;3;1;2002;2;NA;2;NA;2;NA;2;NA;5;NA;5;5;1;5;5;5;4;5;5;5;4;4;5;2;1;1;1;1;5;5;5;5;1;5;1;5;4;1;60;0;5;2;64;7;5;NA;NA;NA;NA;3e+05;NA;5;"""";7;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9120;NA;2;NA;2;""insuco"";13101;NA;1;10;"""";13102;13;0.801596522331238;0.627417743206024;1;769891;112"
"1759;13102031;2;201710;1;0;4;2;44;4;5;1;3;2;6;3;2;61;3;5;1;2;2;6;1;2;44;3;5;2;3;2;-999;3;2;33;4;3;2;3;2;6;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;1;NA;NA;3;3;3;3;1;-999;-999;-888;3;4;4;3;3;1;1;1;1;2;2;2;4;3;5;5;4;-888;4;4;4;1;4;4;4;2;4;2;2;3;3;3;3;-888;5;1;1;2;1;5;2;NA;NA;NA;-888;2;2;2;1;1;2;-888;3;-888;1;1;3;3;1;1;1;1;3;1;2;1;1;1;1;4;4;4;1;1;1;12;15;"""";5;"""";10;2;2;4;4;-888;-888;4;4;4;4;4;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-888;-888;-888;-888;1;5;5;-888;-888;-888;1;1;1;-888;-888;-888;-888;2;5;-888;4;1;-888;-888;-888;-888;-888;-888;-888;-888;1;1;1;1;1;1;1;1;5;5;5;4;4;1;3;4;2;3;3;1;3;5;0;3;1;6;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;4;2;4;3;5;2;3;1;5;3;1;3;4;1;5;5;1;1;1;3;4;1;1;1;1;1;1;0;0;1;2;38;5;5;NA;NA;NA;NA;1e+05;NA;2;"""";4;1;1;4;1;4;7;4;1;5;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13124;NA;1;31;3;""instituto tabancura"";13101;NA;1;10;"""";13102;13;0.961915671825409;0.752901196479797;1;393094;112"
"1760;13102032;2;201710;1;0;5;1;21;1;3;1;3;5;6;1;2;48;3;5;1;3;1;4;1;1;57;3;5;2;1;1;6;1;2;50;4;5;1;5;5;4;1;2;41;3;3;2;2;5;6;3;1;2;2;2;4;4;1;5;3;2;3;1;4;4;3;4;5;5;5;1;2;3;2;2;3;4;3;3;4;3;4;4;5;4;3;1;1;4;2;3;4;3;4;3;2;2;2;4;3;5;1;5;5;5;5;2;NA;NA;NA;1;2;2;1;1;2;3;3;3;1;2;1;3;2;3;3;3;1;3;3;3;3;1;1;5;4;4;3;2;3;3;12;15;"""";5;"""";-999;1;2;5;5;1;4;4;4;3;3;3;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;2;4;3;4;5;5;4;7;10;1;1;1;1e+07;250000;1e+06;5e+05;3;5;4;5;4;4;2;3;4;4;6;10;2;4;2;1;1;1;4;1;3;5;5;5;4;4;1;2;4;4;3;5;3;2;1;5;1;60;2;2;NA;2;NA;2;NA;2;NA;2;NA;4;30;4;5;3;2;3;4;4;4;3;4;1;1;3;1;1;5;5;5;1;1;3;2;2;5;1;3;2;4;10;0;5;2;24;5;1;80000;NA;450000;2;5e+05;NA;6;""Cristiano"";2;1;1;4;1;5;9;1;1;5;1;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13116;NA;1;24;2;""no recuerda; pertenecia a inst iccel"";13101;NA;1;10;"""";13102;13;1.44287347793579;1.12935185432434;1;393094;112"
"1761;13102033;2;201710;1;0;4;1;29;4;3;1;2;1;-999;1;2;29;1;5;1;2;1;6;1;1;36;4;3;2;3;3;6;3;1;30;4;5;1;2;2;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;3;1;4;4;1;4;5;4;3;3;4;4;2;2;5;4;4;3;4;4;4;4;4;4;4;2;4;2;4;4;2;2;2;3;4;2;4;4;4;4;4;4;2;4;4;2;2;2;4;2;4;3;5;1;6;2;9;3;1;2;2;3;1;4;4;2;4;3;3;3;3;3;3;1;2;3;3;3;1;1;1;4;4;4;4;4;4;4;5;15;"""";5;"""";8;2;2;5;5;4;5;4;4;4;2;4;5;4;"""";4;4;4;5;4;4;4;4;4;4;4;2;1;1;1;4;3;4;3;3;4;4;4;3;7;2;2;2;1e+08;270000;5e+07;7e+05;4;4;4;4;3;3;2;5;6;9;6;8;4;5;1;2;2;1;4;2;2;5;4;4;4;3;1;2;2;2;1;1;1;1;1;2;3;2;3;2;NA;2;NA;1;2016;2;NA;2;NA;2;0;4;4;2;4;2;4;4;4;3;4;1;1;3;3;1;1;5;1;1;1;1;3;2;4;5;4;5;4;2;0;5;1;34;5;1;7e+05;NA;9e+05;2;7e+05;NA;1;"""";4;1;1;4;7;4;4;2;4;2;9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13126;NA;1;23;3;""liceo benjamin franklin"";13126;NA;2;1;"""";13102;13;0.961915671825409;1.35376608371735;1;393094;112"
"1762;13102035;2;201710;1;0;5;1;55;4;5;1;-999;5;6;1;1;58;4;4;1;-999;5;6;1;1;53;4;5;1;-999;5;6;1;2;60;4;5;1;-999;5;6;1;2;51;1;5;1;2;5;6;1;1;2;1;2;4;5;5;3;4;2;2;2;5;5;4;2;4;3;3;1;2;2;2;2;2;3;2;2;3;4;4;4;4;5;5;4;1;4;4;2;3;1;4;5;1;4;2;4;5;5;1;4;4;4;5;2;NA;NA;NA;2;2;2;1;2;-999;1;1;1;1;1;3;1;1;1;3;1;1;1;3;2;1;1;1;1;4;4;2;1;1;1;12;15;"""";5;"""";10;1;1;5;4;-999;-999;-999;-999;-999;1;1;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-999;-999;-999;-999;-999;-999;3;3;4;4;4;1;1;1;1e+07;3e+05;5e+06;5e+05;4;5;2;4;5;2;1;5;5;4;-888;-888;-888;1;1;1;1;1;3;1;1;5;5;4;4;1;2;2;4;4;5;2;2;-999;2;0;1;14;4;1;2013;1;2016;2;NA;2;NA;2;NA;2;11;3;4;2;3;3;5;2;3;2;2;1;1;5;1;1;1;1;1;1;1;1;1;1;4;3;5;5;2;0;0;1;1;53;2;1;5e+05;NA;1e+06;3;5e+05;NA;6;""Testigo de Jehova"";1;2;1;1;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13119;NA;1;21;3;""liceo ignacio centeno"";13119;NA;1;-888;"""";13102;13;1.44287347793579;2.03064894676208;1;393094;112"
"1763;13102038;2;201710;1;0;1;2;35;4;5;1;-999;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;-888;3;2;1;1;1;1;1;-888;1;-888;5;5;3;3;3;3;1;1;1;1;2;1;2;2;2;2;4;4;4;4;5;1;1;1;4;4;4;4;2;2;2;4;4;4;4;5;1;5;2;1;4;2;NA;NA;NA;-999;2;2;1;1;1;1;-888;2;1;1;-888;-888;3;1;1;1;2;3;3;1;1;1;1;1;5;5;5;1;1;1;12;15;"""";5;"""";1;1;1;5;5;4;4;4;4;4;1;2;5;-888;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-888;4;4;-888;1;5;5;3;5;6;1;1;1;1e+07;280000;5e+06;3e+06;-888;5;5;5;5;-888;-888;5;2;2;-888;-888;-888;5;5;1;1;1;1;1;1;5;5;2;2;1;3;4;4;4;2;4;4;3;3;0;1;30;1;2;NA;1;2014;2;NA;2;NA;1;1996;5;NA;5;5;1;1;5;4;3;5;4;5;1;1;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;0;0;1;2;52;2;7;NA;NA;NA;NA;1e+05;NA;1;"""";7;1;1;1;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13130;NA;1;23;2;""no asistio"";-999;NA;1;10;"""";13102;13;1.44287347793579;1.12935185432434;1;393094;112"
"1764;13103014;2;201710;1;0;1;2;44;3;5;1;1;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;3;5;1;3;1;2;2;2;3;3;3;4;2;2;2;2;2;4;2;4;4;4;4;4;4;4;4;4;4;4;2;4;2;2;2;2;2;4;4;4;2;4;2;5;1;5;4;1;1;1;1;2;NA;NA;NA;2;2;2;1;1;1;1;1;1;1;1;1;1;3;1;3;1;1;2;3;1;3;1;1;1;4;4;4;1;1;1;0;15;"""";5;"""";3;2;4;4;4;2;4;4;2;2;2;2;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;4;3;1;4;4;5;4;10;2;2;2;2e+07;4e+05;288000;1500000;1;4;5;5;5;5;2;2;-888;-888;-888;-888;-888;1;1;1;1;1;1;1;1;4;4;2;4;5;2;1;1;1;1;1;3;1;3;4;1;15;2;2;NA;2;NA;2;NA;2;NA;2;NA;-888;NA;2;4;2;4;4;4;2;4;4;4;1;1;1;1;1;1;5;1;1;1;1;1;5;2;1;1;1;3;0;0;1;2;27;5;7;NA;NA;NA;NA;6e+05;NA;1;"""";7;1;1;3;1;5;9;1;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13126;NA;1;18;3;""heroes de la concepcion"";13103;NA;2;10;"""";13103;13;3.60718393325806;2.82337975502014;1;642567;109"
"1765;13103015;2;201710;1;0;3;2;32;1;1;2;4;2;6;1;1;35;4;5;1;3;4;6;1;1;45;5;3;2;4;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;1;1;5;3;1;3;1;3;3;3;3;3;1;1;5;5;5;3;4;1;1;3;5;5;3;5;5;5;5;5;1;1;5;3;3;4;4;4;4;4;4;4;5;5;3;1;1;4;3;1;1;1;1;2;NA;NA;NA;3;2;2;2;1;1;3;1;1;3;3;1;3;3;1;3;1;3;3;3;3;1;1;1;1;3;4;4;1;1;1;12;15;"""";5;"""";10;4;3;4;4;4;4;4;4;4;4;4;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;1;3;1;5;5;5;4;-999;1;1;1;1e+07;267000;6e+06;5e+05;1;5;3;5;3;3;3;5;7;4;-999;-999;-999;3;3;3;3;1;3;1;1;5;5;3;4;3;1;1;1;1;1;1;2;1;1;4;5;1;4;2;NA;2;NA;2;NA;2;NA;2;NA;1;14;5;3;1;5;1;5;5;5;5;5;1;1;4;3;4;1;1;1;1;1;4;1;1;5;1;3;1;1;0;0;1;1;35;4;1;450000;NA;850000;4;-999;9;2;"""";7;1;1;10;9;2;1;2;1;5;1;5;4;4;4;4;7;7;1;5;4;2;9;1;13103;NA;2;NA;3;""liceo sa pablo"";13124;NA;1;10;"""";13103;13;2.70538759231567;3.80746698379517;1;642567;16"
"1766;13103021;2;201710;1;0;2;2;38;4;5;1;3;3;-999;1;2;65;4;5;1;1;1;-999;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;1;4;5;1;3;3;3;3;3;4;4;4;4;5;3;5;2;3;4;4;5;3;4;4;4;3;5;5;4;3;4;2;3;4;5;3;4;4;4;5;2;5;3;4;2;3;4;3;1;3;1;2;1;5;8;12;2;2;2;1;2;1;2;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;4;5;5;2;2;2;5;6;"""";2;"""";9;1;1;5;5;3;3;2;4;4;2;3;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;-888;-888;-888;1;1;5;5;3;5;3;1;1;1;3e+07;350000;2e+06;5e+05;5;5;5;5;5;-888;-888;-888;-888;10;10;-888;-888;4;1;1;2;1;3;1;1;5;5;4;3;1;3;3;3;3;3;3;3;3;3;2;3;1;2;1;2010;2;NA;2;NA;2;NA;1;2010;2;0;4;4;1;4;3;4;3;4;3;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;0;0;3;2;71;4;1;5e+05;NA;1200000;2;7e+05;NA;1;"""";7;1;1;1;1;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13101;NA;2;NA;3;""liceo ispano americano"";13101;NA;1;10;"""";13103;13;1.50299334526062;1.17640817165375;1;379955;16"
